Time,Open,High,Low,Close,TickVolume,Spread,RealVolume
2025-10-06 17:43:00,0.79523,0.79527,0.79523,0.79525,8,10,0
2025-10-06 17:44:00,0.79523,0.7953,0.79522,0.79522,11,10,0
2025-10-06 17:45:00,0.79527,0.79533,0.79527,0.7953,10,10,0
2025-10-06 17:46:00,0.7953,0.7954,0.79528,0.79536,18,10,0
2025-10-06 17:47:00,0.79535,0.79539,0.79535,0.79539,13,10,0
2025-10-06 17:48:00,0.79539,0.7954,0.79537,0.79539,19,10,0
2025-10-06 17:49:00,0.79539,0.79541,0.79534,0.79536,20,10,0
2025-10-06 17:50:00,0.79537,0.79541,0.79532,0.79533,15,10,0
2025-10-06 17:51:00,0.79533,0.79536,0.7953,0.79533,13,10,0
2025-10-06 17:52:00,0.79533,0.79533,0.79527,0.79527,11,10,0
2025-10-06 17:53:00,0.79528,0.79539,0.79526,0.79539,10,10,0
2025-10-06 17:54:00,0.79538,0.79538,0.79535,0.79535,17,7,0
2025-10-06 17:55:00,0.79536,0.79539,0.79533,0.79537,13,10,0
2025-10-06 17:56:00,0.79537,0.7954,0.79535,0.79535,12,10,0
2025-10-06 17:57:00,0.79536,0.79547,0.79536,0.79547,13,10,0
2025-10-06 17:58:00,0.79547,0.79551,0.79546,0.79547,21,10,0
2025-10-06 17:59:00,0.79547,0.79547,0.79544,0.79547,12,10,0
2025-10-06 18:00:00,0.79547,0.79553,0.79544,0.79546,20,10,0
2025-10-06 18:01:00,0.79546,0.79547,0.7954,0.79547,20,10,0
2025-10-06 18:02:00,0.79547,0.79547,0.7954,0.7954,23,10,0
2025-10-06 18:03:00,0.7954,0.79541,0.79538,0.79538,11,10,0
2025-10-06 18:04:00,0.79534,0.79537,0.7953,0.79531,16,10,0
2025-10-06 18:05:00,0.79531,0.79531,0.79528,0.7953,8,10,0
2025-10-06 18:06:00,0.7953,0.79541,0.79526,0.79539,16,10,0
2025-10-06 18:07:00,0.7954,0.7954,0.79536,0.79538,8,10,0
2025-10-06 18:08:00,0.79536,0.79543,0.79536,0.79542,12,10,0
2025-10-06 18:09:00,0.79542,0.79545,0.79542,0.79543,9,10,0
2025-10-06 18:10:00,0.79543,0.79545,0.79542,0.79542,11,10,0
2025-10-06 18:11:00,0.79543,0.79543,0.79532,0.79532,9,10,0
2025-10-06 18:12:00,0.79531,0.79535,0.79529,0.79533,16,10,0
2025-10-06 18:13:00,0.79533,0.79533,0.79522,0.79524,12,10,0
2025-10-06 18:14:00,0.79524,0.7953,0.79524,0.7953,6,10,0
2025-10-06 18:15:00,0.7953,0.79532,0.79528,0.79529,10,10,0
2025-10-06 18:16:00,0.7953,0.7953,0.7952,0.79524,11,10,0
